-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,147
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,46
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,17,17,17,17,213,214,17,17,17,215,216,215,216,216,17,17,17,17,17,17
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,58,23,24,25,26,27,28,83,84,85,86,87,86,87,83,84,85,86,87,35,36
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,96,97,38,39,40,41,42,43,98,99,100,101,102,101,102,98,99,100,101,102,50,51
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,111,112,53,54,55,56,57,58,113,114,115,116,117,116,117,113,114,115,116,117,86,87
68,68,68,69,68,68,68,68,68,68,68,68,68,68,69,68,68,69,96,97,68,69,70,71,72,102,97,98,99,100,101,98,99,100,101,98,99,100,101,102
83,83,83,84,83,83,83,83,83,83,83,83,83,83,84,83,83,84,111,112,83,84,85,86,87,117,112,113,114,115,116,113,114,115,116,113,114,115,116,117
